English,Turkish
deluge,silmek
blitz,yıldırım/ani saldırı
shore up,desteklemek
cement,çimento
stigma,stigma
nutrient,besin
retail,perakende
initiatives,başlangıç
scrutiny,inceleme
outage,Kesinti
rambling,başıboş
prejudice,ön yargı
undermine,zayıflatmak
probe,"incelemek, bulmak"
nevertheless,yine de
diligent,gayretli
footnote,dipnot
sentiment,duygusallık
rampant,yaygın
hesitancy,tereddüd
bizarre,tuhaf
blatant,batan
backfiring,geri tepme
bilateral,bilateral
dispute,anlaşmazlık
interlocutor,muhatap
middleman,aracı
immersive,sürükleyici
clergy,din adamı
subsidiaries,iştirakleri
belligerance,savaş
outrageous,çirkin
emphasized,vurgulayan
fractious,kırıcı
complacent,şikayetçi
complicity,karmaşa
prosecutor,Savcı
bitter,acı
condemn,kınamak
spades,maça
incursion,akın
reconstitue,yeniden yapılandırmak
eminently,son derece/fazlasıyla
deliberate,"kasten, kasıtlı, planlı"
scurvy,skırlamak
humid,nemli
nonetheless,Her şeye rağmen
standstill,durgunluk
layer,katman